event,meet,stroke,gender,distance,records,entries
21,2022 Toyota Us Open,Backstroke,Women,100,"[['World', '57.45', '6/13/2021', 'Kaylee McKeown', 'AUS'], ['American', '57.57', '7/28/2019', 'Regan Smith', 'USA'], ['U.S. Open', '57.76', '4/29/2022', 'Regan Smith', 'Unattached-PC'], ['World', '57.45', '6/13/2021', 'Kaylee McKeown', 'AUS'], ['American', '57.57', '7/28/2019', 'Regan Smith', 'USA'], ['U.S. Open', '57.76', '4/29/2022', 'Regan Smith', 'Unattached-PC']]",[]
22,2022 Toyota Us Open,Backstroke,Men,100,"[['World', '51.60', '6/20/2022', 'Thomas Ceccon', 'ITA'], ['American', '51.85', '8/13/2016', 'Ryan Murphy', 'USA'], ['U.S. Open', '51.94', '7/8/2009', 'Aaron Peirsol', 'Longhorn'], ['World', '51.60', '6/20/2022', 'Thomas Ceccon', 'ITA'], ['American', '51.85', '8/13/2016', 'Ryan Murphy', 'USA'], ['U.S. Open', '51.94', '7/8/2009', 'Aaron Peirsol', 'Longhorn']]",[]
23,2022 Toyota Us Open,Freestyle,Women,1500,"[['World', '15:20.48', '5/16/2018', 'Katie Ledecky', 'USA'], ['American', '15:20.48', '5/17/2018', 'Katie Ledecky', 'Stanford'], ['U.S. Open', '15:20.48', '5/17/2018', 'Katie Ledecky', 'Stanford']]",[]
24,2022 Toyota Us Open,Freestyle,Men,1500,"[['World', '14:31.02', '8/4/2012', 'Yang Sun', 'CHN'], ['American', '14:36.70', '6/29/2022', 'Bobby Finke', 'USA'], ['U.S. Open', '14:45.54', '7/6/2008', 'Peter Vanderkaay', 'Club Wolverine']]",[]
25,2022 Toyota Us Open,Backstroke,Women,200,"[['World', '2:03.35', '7/26/2019', 'Regan Smith', 'USA'], ['American', '2:03.35', '7/26/2019', 'Regan Smith', 'USA'], ['U.S. Open', '2:05.08', '4/27/2022', 'Phoebe Bacon', 'Una WA-WI'], ['World', '2:03.35', '7/26/2019', 'Regan Smith', 'USA'], ['American', '2:03.35', '7/26/2019', 'Regan Smith', 'USA'], ['U.S. Open', '2:05.08', '4/27/2022', 'Phoebe Bacon', 'Una WA-WI']]",[]
26,2022 Toyota Us Open,Backstroke,Men,200,"[['World', '1:51.92', '7/31/2009', 'Aaron Peirsol', 'USA'], ['American', '1:51.92', '7/31/2009', 'Aaron Peirsol', 'USA'], ['U.S. Open', '1:53.08', '7/11/2009', 'Aaron Peirsol', 'Longhorn'], ['World', '1:51.92', '7/31/2009', 'Aaron Peirsol', 'USA'], ['American', '1:51.92', '7/31/2009', 'Aaron Peirsol', 'USA'], ['U.S. Open', '1:53.08', '7/11/2009', 'Aaron Peirsol', 'Longhorn']]",[]
27,2022 Toyota Us Open,Freestyle,Women,100,"[['World', '51.71', '7/23/2017', 'Sarah Sjostrom', 'SWE'], ['American', '52.04', '7/26/2019', 'Simone Manuel', 'USA'], ['U.S. Open', '52.54', '7/25/2018', 'Simone Manuel', 'Stanford Swimmin'], ['World', '51.71', '7/23/2017', 'Sarah Sjostrom', 'SWE'], ['American', '52.04', '7/26/2019', 'Simone Manuel', 'USA'], ['U.S. Open', '52.54', '7/25/2018', 'Simone Manuel', 'Stanford Swimmin']]",[]
28,2022 Toyota Us Open,Freestyle,Men,100,"[['World', '46.86', '8/13/2022', 'David Popovici', 'ROU'], ['American', '46.96', '7/25/2019', 'Caeleb Dressel', 'USA'], ['World', '46.86', '8/13/2022', 'David Popovici', 'ROU'], ['American', '46.96', '7/25/2019', 'Caeleb Dressel', 'USA']]",[]
29,2022 Toyota Us Open,Breaststroke,Women,200,"[['World', '2:18.95', '7/30/2021', 'Tatjana Schoenmaker', 'RSA'], ['American', '2:19.59', '8/2/2012', 'Rebecca Soni', 'USA Olympic Team'], ['U.S. Open', '2:20.38', '7/7/2009', 'Rebecca Soni', 'Trojan'], ['World', '2:18.95', '7/30/2021', 'Tatjana Schoenmaker', 'RSA'], ['American', '2:19.59', '8/2/2012', 'Rebecca Soni', 'USA Olympic Team'], ['U.S. Open', '2:20.38', '7/7/2009', 'Rebecca Soni', 'Trojan']]",[]
30,2022 Toyota Us Open,Breaststroke,Men,200,"[['World', '2:05.95', '5/19/2022', 'Zac Stubblety-Cook', 'AUS'], ['American', '2:07.17', '6/30/2016', 'Josh Prenot', 'Cal Aquatics'], ['U.S. Open', '2:07.17', '6/30/2016', 'Josh Prenot', 'Cal Aquatics'], ['World', '2:05.95', '5/19/2022', 'Zac Stubblety-Cook', 'AUS'], ['American', '2:07.17', '6/30/2016', 'Josh Prenot', 'Cal Aquatics'], ['U.S. Open', '2:07.17', '6/30/2016', 'Josh Prenot', 'Cal Aquatics']]",[]
31,2022 Toyota Us Open,Butterfly,Women,200,"[['World', '2:01.81', '10/21/2009', 'Zige Liu', 'CHN'], ['American', '2:04.14', '7/30/2009', 'Mary Descenza', 'USA'], ['U.S. Open', '2:05.85', '6/17/2021', 'Hali Flickinger', 'Sun Devil-AZ'], ['World', '2:01.81', '10/21/2009', 'Zige Liu', 'CHN'], ['American', '2:04.14', '7/30/2009', 'Mary Descenza', 'USA'], ['U.S. Open', '2:05.85', '6/17/2021', 'Hali Flickinger', 'Sun Devil-AZ']]",[]
32,2022 Toyota Us Open,Butterfly,Men,200,"[['World', '1:50.34', '6/21/2022', 'Kristof Milak', 'HUN'], ['American', '1:51.51', '7/29/2009', 'Michael Phelps', 'USA'], ['U.S. Open', '1:52.20', '7/2/2008', 'Michael Phelps', 'Club Wolverine'], ['World', '1:50.34', '6/21/2022', 'Kristof Milak', 'HUN'], ['American', '1:51.51', '7/29/2009', 'Michael Phelps', 'USA'], ['U.S. Open', '1:52.20', '7/2/2008', 'Michael Phelps', 'Club Wolverine']]",[]
33,2022 Toyota Us Open,Freestyle Relay,Women,400,"[['U.S. Open', '3:35.11', '8/21/2010', 'USA Pan', 'Pacific Team']]",[]
34,2022 Toyota Us Open,Freestyle Relay,Men,400,"[['World', '3:08.24', '8/11/2008', 'USA Olympic', 'Team'], ['American', '3:08.24', '8/11/2008', 'USA Olympic', 'Team'], ['U.S. Open', '3:11.74', '8/20/2010', 'USA Pan', 'Pacific Team']]",[]
