event,meet,stroke,gender,distance,records,entries
12,Phillips 66 Nationals,Backstroke,Women,200,"[['World', '2:03.35', '7/26/2019', 'Regan Smith', 'USA'], ['American', '2:03.35', '7/26/2019', 'Regan Smith', 'USA'], ['U.S. Open', '2:05.68', '6/25/2013', 'Missy Franklin', 'Colorado STARS-C'], ['World', '2:03.35', '7/26/2019', 'Regan Smith', 'USA'], ['American', '2:03.35', '7/26/2019', 'Regan Smith', 'USA'], ['U.S. Open', '2:05.68', '6/25/2013', 'Missy Franklin', 'Colorado STARS-C']]",[]
13,Phillips 66 Nationals,Backstroke,Men,200,"[['World', '1:51.92', '7/31/2009', 'Aaron Peirsol', 'USA'], ['American', '1:51.92', '7/31/2009', 'Aaron Peirsol', 'USA'], ['U.S. Open', '1:53.08', '7/11/2009', 'Aaron Peirsol', 'Longhorn'], ['World', '1:51.92', '7/31/2009', 'Aaron Peirsol', 'USA'], ['American', '1:51.92', '7/31/2009', 'Aaron Peirsol', 'USA'], ['U.S. Open', '1:53.08', '7/11/2009', 'Aaron Peirsol', 'Longhorn'], ['American', '3:31.02', '7/21/2019', 'USA World', 'Championship Team'], ['U.S. Open', '3:35.11', '8/21/2010', 'USA Pan', 'Pacific Team']]",[]
15,Phillips 66 Nationals,IM,Women,400,"[['World', '4:26.36', '8/6/2016', 'Katinka Hosszu', 'HUN'], ['American', '4:31.12', '6/29/2008', 'Katie Hoff', 'North Baltimore'], ['U.S. Open', '4:31.07', '6/19/2015', 'Katinka Hosszu', 'HUN'], ['World', '4:26.36', '8/6/2016', 'Katinka Hosszu', 'HUN'], ['American', '4:31.12', '6/29/2008', 'Katie Hoff', 'North Baltimore'], ['U.S. Open', '4:31.07', '6/19/2015', 'Katinka Hosszu', 'HUN']]",[]
16,Phillips 66 Nationals,IM,Men,400,"[['World', '4:03.84', '8/10/2008', 'Michael Phelps', 'USA'], ['American', '4:03.84', '8/10/2008', 'Michael Phelps', 'USA'], ['U.S. Open', '4:05.25', '6/29/2008', 'Michael Phelps', 'Club Wolverine'], ['World', '4:03.84', '8/10/2008', 'Michael Phelps', 'USA'], ['American', '4:03.84', '8/10/2008', 'Michael Phelps', 'USA'], ['U.S. Open', '4:05.25', '6/29/2008', 'Michael Phelps', 'Club Wolverine']]",[]
17,Phillips 66 Nationals,Butterfly,Women,100,"[['World', '55.48', '8/7/2016', 'Sarah Sjostrom', 'SWE'], ['American', '55.98', '7/29/2012', 'Dana Vollmer', 'USA Olympic Team'], ['U.S. Open', '56.38', '1/15/2016', 'Sarah Sjostrom', 'SWE'], ['World', '55.48', '8/7/2016', 'Sarah Sjostrom', 'SWE'], ['American', '55.98', '7/29/2012', 'Dana Vollmer', 'USA Olympic Team'], ['U.S. Open', '56.38', '1/15/2016', 'Sarah Sjostrom', 'SWE']]",[]
18,Phillips 66 Nationals,Butterfly,Men,100,"[['World', '49.50', '7/26/2019', 'Caeleb Dressel', 'USA'], ['American', '49.50', '7/26/2019', 'Caeleb Dressel', 'USA'], ['U.S. Open', '50.22', '7/9/2009', 'Michael Phelps', 'North Baltimore'], ['World', '49.50', '7/26/2019', 'Caeleb Dressel', 'USA'], ['American', '49.50', '7/26/2019', 'Caeleb Dressel', 'USA'], ['U.S. Open', '50.22', '7/9/2009', 'Michael Phelps', 'North Baltimore'], ['American', '7:41.87', '7/25/2019', 'USA World', 'Championship Team'], ['U.S. Open', '7:51.21', '8/20/2010', 'USA Pan', 'Pacific Team']]",[]
20,Phillips 66 Nationals,Freestyle,Women,400,"[['World', '3:56.46', '8/7/2016', 'Katie Ledecky', 'USA'], ['American', '3:56.46', '8/7/2016', 'Katie Ledecky', 'USA'], ['U.S. Open', '3:57.94', '5/17/2018', 'Katie Ledecky', 'Stanford'], ['World', '3:56.46', '8/7/2016', 'Katie Ledecky', 'USA'], ['American', '3:56.46', '8/7/2016', 'Katie Ledecky', 'USA'], ['U.S. Open', '3:57.94', '5/17/2018', 'Katie Ledecky', 'Stanford']]",[]
21,Phillips 66 Nationals,Freestyle,Men,400,"[['World', '3:40.07', '7/26/2009', 'Paul Biederman', 'GER'], ['American', '3:42.78', '8/10/2008', 'Larsen Jensen', 'USA'], ['U.S. Open', '3:43.53', '6/29/2008', 'Larsen Jensen', 'Trojan'], ['World', '3:40.07', '7/26/2009', 'Paul Biederman', 'GER'], ['American', '3:42.78', '8/10/2008', 'Larsen Jensen', 'USA'], ['U.S. Open', '3:43.53', '6/29/2008', 'Larsen Jensen', 'Trojan']]",[]
22,Phillips 66 Nationals,Breaststroke,Women,100,"[['World', '1:04.13', '7/25/2017', 'Lilly King', 'USA'], ['American', '1:04.13', '7/25/2017', 'Lilly King', 'USA'], ['U.S. Open', '1:04.45', '8/7/2009', 'Jessica Hardy', 'Trojan'], ['World', '1:04.13', '7/25/2017', 'Lilly King', 'USA'], ['American', '1:04.13', '7/25/2017', 'Lilly King', 'USA'], ['U.S. Open', '1:04.45', '8/7/2009', 'Jessica Hardy', 'Trojan']]",[]
23,Phillips 66 Nationals,Breaststroke,Men,100,"[['World', '56.88', '7/21/2019', 'Adam Peaty', 'GBR'], ['American', '58.64', '7/23/2017', 'Kevin Cordes', 'USA'], ['U.S. Open', '58.74', '6/30/2017', 'Kevin Cordes', 'Unattached-SE'], ['World', '56.88', '7/21/2019', 'Adam Peaty', 'GBR'], ['American', '58.64', '7/23/2017', 'Kevin Cordes', 'USA'], ['U.S. Open', '58.74', '6/30/2017', 'Kevin Cordes', 'Unattached-SE']]",[]
24,Phillips 66 Nationals,Backstroke,Women,100,"[['World', '57.57', '7/28/2019', 'Regan Smith', 'USA'], ['American', '57.57', '7/28/2019', 'Regan Smith', 'USA'], ['U.S. Open', '58.00', '7/28/2018', 'Kathleen Baker', 'Team Elite-NC'], ['World', '57.57', '7/28/2019', 'Regan Smith', 'USA'], ['American', '57.57', '7/28/2019', 'Regan Smith', 'USA'], ['U.S. Open', '58.00', '7/28/2018', 'Kathleen Baker', 'Team Elite-NC']]",[]
25,Phillips 66 Nationals,Backstroke,Men,100,"[['World', '51.85', '8/13/2016', 'Ryan Murphy', 'USA'], ['American', '51.85', '8/13/2016', 'Ryan Murphy', 'USA'], ['U.S. Open', '51.94', '7/8/2009', 'Aaron Peirsol', 'Longhorn'], ['World', '51.85', '8/13/2016', 'Ryan Murphy', 'USA'], ['American', '51.85', '8/13/2016', 'Ryan Murphy', 'USA'], ['U.S. Open', '51.94', '7/8/2009', 'Aaron Peirsol', 'Longhorn'], ['World', '6:58.55', '7/31/2009', 'USA Wold', 'Championship Team'], ['American', '6:58.55', '7/31/2009', 'USA Wold', 'Championship Team'], ['U.S. Open', '7:03.84', '8/20/2010', 'USA Pan', 'Pacific Team']]",[]
27,Phillips 66 Nationals,Freestyle,Women,1500,"[['World', '15:20.48', '5/17/2018', 'Katie Ledecky', 'Stanford'], ['American', '15:20.48', '5/17/2018', 'Katie Ledecky', 'Stanford'], ['U.S. Open', '15:20.48', '5/17/2018', 'Katie Ledecky', 'Stanford']]",[]
28,Phillips 66 Nationals,IM,Women,200,"[['World', '2:06.12', '8/3/2015', 'Katinka Hosszu', 'HUN'], ['American', '2:06.15', '7/27/2009', 'Ariana Kukors', 'USA'], ['U.S. Open', '2:08.32', '7/29/2018', 'Kathleen Baker', 'Team Elite-NC'], ['World', '2:06.12', '8/3/2015', 'Katinka Hosszu', 'HUN'], ['American', '2:06.15', '7/27/2009', 'Ariana Kukors', 'USA'], ['U.S. Open', '2:08.32', '7/29/2018', 'Kathleen Baker', 'Team Elite-NC']]",[]
29,Phillips 66 Nationals,IM,Men,200,"[['World', '1:54.00', '7/28/2011', 'Ryan Lochte', 'USA'], ['American', '1:54.00', '7/28/2011', 'Ryan Lochte', 'USA'], ['U.S. Open', '1:54.56', '7/10/2009', 'Ryan Lochte', 'Daytona Beach'], ['World', '1:54.00', '7/28/2011', 'Ryan Lochte', 'USA'], ['American', '1:54.00', '7/28/2011', 'Ryan Lochte', 'USA'], ['U.S. Open', '1:54.56', '7/10/2009', 'Ryan Lochte', 'Daytona Beach']]",[]
30,Phillips 66 Nationals,Freestyle,Men,800,"[['World', '7:32.12', '7/29/2009', 'Lin Zhang', 'CHN'], ['American', '7:43.60', '7/31/2013', 'Michael McBroom', 'USA'], ['U.S. Open', '7:44.57', '7/29/2018', 'Zane Grothe', 'Mission Viejo Na']]",[]
31,Phillips 66 Nationals,Freestyle,Women,50,"[['World', '23.67', '7/29/2017', 'Sarah Sjostrom', 'SWE'], ['American', '23.97', '7/30/2017', 'Simone Manuel', 'USA'], ['U.S. Open', '24.08', '6/1/2019', 'Pernille Blume', 'DEN'], ['World', '23.67', '7/29/2017', 'Sarah Sjostrom', 'SWE'], ['American', '23.97', '7/30/2017', 'Simone Manuel', 'USA'], ['U.S. Open', '24.08', '6/1/2019', 'Pernille Blume', 'DEN']]",[]
32,Phillips 66 Nationals,Freestyle,Men,50,"[['World', '20.91', '12/18/2009', 'Cesar Cielo', 'Filho BRA'], ['American', '21.04', '7/27/2019', 'Caeleb Dressel', 'USA'], ['World', '20.91', '12/18/2009', 'Cesar Cielo', 'Filho BRA'], ['American', '21.04', '7/27/2019', 'Caeleb Dressel', 'USA'], ['World', '3:50.40', '7/28/2019', 'USA World', 'Championship Team'], ['American', '3:50.40', '7/28/2019', 'USA World', 'Championshp Team'], ['U.S. Open', '3:55.23', '8/22/2010', 'USA Pan', 'Pacific Team'], ['World', '3:27.28', '8/2/2009', 'USA Wold', 'Championship Team'], ['American', '3:27.28', '8/2/2009', 'USA Wolrd', 'Championship Team'], ['U.S. Open', '3:32.48', '8/18/2010', 'USA Pan', 'Pacific Team']]",[]
